μαγκιά	μαγκιά	N;NOM;SG
μαγκιά	μαγκιές	N;NOM;PL
μαγκιά	μαγκιάς	N;GEN;SG
μαγκιά	μαγκιών	N;GEN;PL
μαγκιά	μαγκιά	N;ACC;SG
μαγκιά	μαγκιές	N;ACC;PL
μαγκιά	μαγκιά	N;VOC;SG
μαγκιά	μαγκιές	N;VOC;PL

αιχμαλωτισμός	αιχμαλωτισμός	N;NOM;SG
αιχμαλωτισμός	αιχμαλωτισμοί	N;NOM;PL
αιχμαλωτισμός	αιχμαλωτισμού	N;GEN;SG
αιχμαλωτισμός	αιχμαλωτισμών	N;GEN;PL
αιχμαλωτισμός	αιχμαλωτισμό	N;ACC;SG
αιχμαλωτισμός	αιχμαλωτισμούς	N;ACC;PL
αιχμαλωτισμός	αιχμαλωτισμέ	N;VOC;SG
αιχμαλωτισμός	αιχμαλωτισμοί	N;VOC;PL

βατραχοπέδιλο	βατραχοπέδιλο	N;NOM;SG
βατραχοπέδιλο	βατραχοπέδιλα	N;NOM;PL
βατραχοπέδιλο	βατραχοπέδιλου	N;GEN;SG
βατραχοπέδιλο	βατραχοπέδιλων	N;GEN;PL
βατραχοπέδιλο	βατραχοπέδιλο	N;ACC;SG
βατραχοπέδιλο	βατραχοπέδιλα	N;ACC;PL
βατραχοπέδιλο	βατραχοπέδιλο	N;VOC;SG
βατραχοπέδιλο	βατραχοπέδιλα	N;VOC;PL

αντιδάνειο	αντιδάνειο	N;NOM;SG
αντιδάνειο	αντιδάνεια	N;NOM;PL
αντιδάνειο	αντιδάνειου αντιδανείου	N;GEN;SG
αντιδάνειο	αντιδάνειων αντιδανείων	N;GEN;PL
αντιδάνειο	αντιδάνειο	N;ACC;SG
αντιδάνειο	αντιδάνεια	N;ACC;PL
αντιδάνειο	αντιδάνειο	N;VOC;SG
αντιδάνειο	αντιδάνεια	N;VOC;PL

προγιαγιά	προγιαγιά	N;NOM;SG
προγιαγιά	προγιαγιάδες	N;NOM;PL
προγιαγιά	προγιαγιάς	N;GEN;SG
προγιαγιά	προγιαγιάδων	N;GEN;PL
προγιαγιά	προγιαγιά	N;ACC;SG
προγιαγιά	προγιαγιάδες	N;ACC;PL
προγιαγιά	προγιαγιά	N;VOC;SG
προγιαγιά	προγιαγιάδες	N;VOC;PL

δροσίζω	δροσίζω	V;1;SG;IPFV;PRS
δροσίζω	δρόσιζα	V;1;SG;IPFV;PST
δροσίζω	θα δροσίζω	V;1;SG;IPFV;FUT
δροσίζω	να δροσίζω	V;1;SG;IPFV;SBJV
δροσίζω	δροσίζεις	V;2;SG;IPFV;PRS
δροσίζω	δρόσιζες	V;2;SG;IPFV;PST
δροσίζω	θα δροσίζεις	V;2;SG;IPFV;FUT
δροσίζω	να δροσίζεις	V;2;SG;IPFV;SBJV
δροσίζω	δρόσιζε	V;2;SG;IMP
δροσίζω	δροσίζει	V;3;SG;IPFV;PRS
δροσίζω	δρόσιζε	V;3;SG;IPFV;PST
δροσίζω	θα δροσίζει	V;3;SG;IPFV;FUT
δροσίζω	να δροσίζει	V;3;SG;IPFV;SBJV
δροσίζω	δροσίζουμε, δροσίζομε	V;1;PL;IPFV;PRS
δροσίζω	δροσίζαμε	V;1;PL;IPFV;PST
δροσίζω	θα δροσίζουμε, δροσίζομε	V;1;PL;IPFV;FUT
δροσίζω	να δροσίζουμε, δροσίζομε	V;1;PL;IPFV;SBJV
δροσίζω	δροσίζετε	V;2;PL;IPFV;PRS
δροσίζω	δροσίζατε	V;2;PL;IPFV;PST
δροσίζω	θα δροσίζετε	V;2;PL;IPFV;FUT
δροσίζω	να δροσίζετε	V;2;PL;IPFV;SBJV
δροσίζω	δροσίζετε	V;2;PL;IMP
δροσίζω	δροσίζουν, δροσίζουνε	V;3;PL;IPFV;PRS
δροσίζω	δρόσιζαν, δροσίζαν, δροσίζανε	V;3;PL;IPFV;PST
δροσίζω	θα δροσίζουν, δροσίζουνε	V;3;PL;IPFV;FUT
δροσίζω	να δροσίζουν, δροσίζουνε	V;3;PL;IPFV;SBJV
δροσίζω	δρόσισα	V;1;SG;PFV;PST
δροσίζω	θα δροσίσω	V;1;SG;PFV;FUT
δροσίζω	να δροσίσω	V;1;SG;PFV;SBJV
δροσίζω	δρόσισες	V;2;SG;PFV;PST
δροσίζω	θα δροσίσεις	V;2;SG;PFV;FUT
δροσίζω	να δροσίσεις	V;2;SG;PFV;SBJV
δροσίζω	δρόσισε	V;2;SG;IMP
δροσίζω	δρόσισε	V;3;SG;PFV;PST
δροσίζω	θα δροσίσει	V;3;SG;PFV;FUT
δροσίζω	να δροσίσει	V;3;SG;PFV;SBJV
δροσίζω	δροσίσαμε	V;1;PL;PFV;PST
δροσίζω	θα δροσίσουμε, δροσίσομε	V;1;PL;PFV;FUT
δροσίζω	να δροσίσουμε, δροσίσομε	V;1;PL;PFV;SBJV
δροσίζω	δροσίσατε	V;2;PL;PFV;PST
δροσίζω	θα δροσίσετε	V;2;PL;PFV;FUT
δροσίζω	να δροσίσετε	V;2;PL;PFV;SBJV
δροσίζω	δροσίστε	V;2;PL;IMP
δροσίζω	δρόσισαν, δροσίσαν, δροσίσανε	V;3;PL;PFV;PST
δροσίζω	θα δροσίσουν, δροσίσουνε	V;3;PL;PFV;FUT
δροσίζω	να δροσίσουν, δροσίσουνε	V;3;PL;PFV;SBJV
δροσίζω	έχω δροσίσει	V;1;SG;PRF;PRS
δροσίζω	είχα δροσίσει	V;1;SG;PRF;PST
δροσίζω	θα έχω δροσίσει	V;1;SG;PRF;FUT
δροσίζω	να έχω δροσίσει	V;1;SG;PRF;SBJV
δροσίζω	έχεις δροσίσει	V;2;SG;PRF;PRS
δροσίζω	είχες δροσίσει	V;2;SG;PRF;PST
δροσίζω	θα έχεις δροσίσει	V;2;SG;PRF;FUT
δροσίζω	να έχεις δροσίσει	V;2;SG;PRF;SBJV
δροσίζω	έχει δροσίσει	V;3;SG;PRF;PRS
δροσίζω	είχε δροσίσει	V;3;SG;PRF;PST
δροσίζω	θα έχει δροσίσει	V;3;SG;PRF;FUT
δροσίζω	να έχει δροσίσει	V;3;SG;PRF;SBJV
δροσίζω	έχουμε δροσίσει	V;1;PL;PRF;PRS
δροσίζω	είχαμε δροσίσει	V;1;PL;PRF;PST
δροσίζω	θα έχουμε δροσίσει	V;1;PL;PRF;FUT
δροσίζω	να έχουμε δροσίσει	V;1;PL;PRF;SBJV
δροσίζω	έχετε δροσίσει	V;2;PL;PRF;PRS
δροσίζω	είχατε δροσίσει	V;2;PL;PRF;PST
δροσίζω	θα έχετε δροσίσει	V;2;PL;PRF;FUT
δροσίζω	να έχετε δροσίσει	V;2;PL;PRF;SBJV
δροσίζω	έχουν δροσίσει	V;3;PL;PRF;PRS
δροσίζω	είχαν δροσίσει	V;3;PL;PRF;PST
δροσίζω	θα έχουν δροσίσει	V;3;PL;PRF;FUT
δροσίζω	να έχουν δροσίσει	V;3;PL;PRF;SBJV
δροσίζω	δροσίζοντας	V;PTCP
δροσίζω	δροσίσει	V;NFIN

πράος	πράος	ADJ;NOM;SG;MASC
πράος	πράα	ADJ;NOM;SG;FEM
πράος	πράο	ADJ;NOM;SG;NEUT
πράος	πράοι	ADJ;NOM;PL;MASC
πράος	πράες	ADJ;NOM;PL;FEM
πράος	πράα	ADJ;NOM;PL;NEUT
πράος	πράου	ADJ;GEN;SG;MASC
πράος	πράας	ADJ;GEN;SG;FEM
πράος	πράου	ADJ;GEN;SG;NEUT
πράος	πράων	ADJ;GEN;PL;MASC
πράος	πράων	ADJ;GEN;PL;FEM
πράος	πράων	ADJ;GEN;PL;NEUT
πράος	πράο	ADJ;ACC;SG;MASC
πράος	πράα	ADJ;ACC;SG;FEM
πράος	πράο	ADJ;ACC;SG;NEUT
πράος	πράους	ADJ;ACC;PL;MASC
πράος	πράες	ADJ;ACC;PL;FEM
πράος	πράα	ADJ;ACC;PL;NEUT
πράος	πράε	ADJ;VOC;SG;MASC
πράος	πράα	ADJ;VOC;SG;FEM
πράος	πράο	ADJ;VOC;SG;NEUT
πράος	πράοι	ADJ;VOC;PL;MASC
πράος	πράες	ADJ;VOC;PL;FEM
πράος	πράα	ADJ;VOC;PL;NEUT

αντιπροσωπεύω	αντιπροσωπεύω	V;1;SG;IPFV;PRS
αντιπροσωπεύω	αντιπροσώπευα	V;1;SG;IPFV;PST
αντιπροσωπεύω	θα αντιπροσωπεύω	V;1;SG;IPFV;FUT
αντιπροσωπεύω	να αντιπροσωπεύω	V;1;SG;IPFV;SBJV
